,healthCode,recordId,recordPath
0,9a201650-4a5b-4637-ab5c-828d8f3823c5,dfdf6d2f-68c7-4b7a-9ca9-d521f7ac7b94,result/feature_seg/dfdf6d2f-68c7-4b7a-9ca9-d521f7ac7b94_1.png
1,9a201650-4a5b-4637-ab5c-828d8f3823c5,670c38a0-201b-4e68-8aaf-8e7ecdb64d22,result/feature_seg/670c38a0-201b-4e68-8aaf-8e7ecdb64d22_18.png
2,9a201650-4a5b-4637-ab5c-828d8f3823c5,c964d5b0-c1b7-41a5-8731-b5e14ac477b9,result/feature_seg/c964d5b0-c1b7-41a5-8731-b5e14ac477b9_3.png
3,9a201650-4a5b-4637-ab5c-828d8f3823c5,54a04283-7ecc-4655-8f10-53bedc3a5437,result/feature_seg/54a04283-7ecc-4655-8f10-53bedc3a5437_0.png
4,9a201650-4a5b-4637-ab5c-828d8f3823c5,df681bc2-e7a0-4da5-86d9-1dd191207f11,result/feature_seg/df681bc2-e7a0-4da5-86d9-1dd191207f11_11.png
5,9a201650-4a5b-4637-ab5c-828d8f3823c5,71d56e27-6f52-427c-bc2e-8ab09b170622,result/feature_seg/71d56e27-6f52-427c-bc2e-8ab09b170622_4.png
6,9a201650-4a5b-4637-ab5c-828d8f3823c5,736a5a82-7770-414d-90e0-5dd81e452489,result/feature_seg/736a5a82-7770-414d-90e0-5dd81e452489_17.png
8,9a201650-4a5b-4637-ab5c-828d8f3823c5,18ecaa48-cd40-4610-b0f9-66a05b1e4f92,result/feature_seg/18ecaa48-cd40-4610-b0f9-66a05b1e4f92_12.png
9,9a201650-4a5b-4637-ab5c-828d8f3823c5,6168b34e-c0c3-42e6-8d97-c801581d107f,result/feature_seg/6168b34e-c0c3-42e6-8d97-c801581d107f_8.png
10,9a201650-4a5b-4637-ab5c-828d8f3823c5,18393796-ae0e-4e3c-9c50-02b4512d39fd,result/feature_seg/18393796-ae0e-4e3c-9c50-02b4512d39fd_7.png
11,9a201650-4a5b-4637-ab5c-828d8f3823c5,bce900d2-c5da-485d-becd-3ff6f41397ed,result/feature_seg/bce900d2-c5da-485d-becd-3ff6f41397ed_11.png
12,9a201650-4a5b-4637-ab5c-828d8f3823c5,762bed6c-bfbc-48cf-8ce9-b3910e62ebc3,result/feature_seg/762bed6c-bfbc-48cf-8ce9-b3910e62ebc3_16.png
13,9a201650-4a5b-4637-ab5c-828d8f3823c5,860ca4a5-042d-4fa6-a120-6b94a8e05f50,result/feature_seg/860ca4a5-042d-4fa6-a120-6b94a8e05f50_17.png
